,Unnamed: 0,Unnamed: 0.1,Sentences
0,0,0,"['', '', 'is a premier asset manager in Asia. It is the asset management arm of Keppel Corporation \nLimited (Keppel Corporation), a multinational conglomerate with key businesses in Offshore &\n \nMarine, \nProperty, Infrastructure and', 'solutions for sustainable \nurbanization\n. \n \nWith assets under management of approximately S$2\n5\n \nbillion, Keppel Capital has a diversified portfolio \nthat includes real estate, infrastructur\ne and data centre properties in key', 'portfolio \nthat includes real estate, infrastructur\ne and data centre properties in key global markets. \n \nKeppel Capital aims to create value and deliver sustainable returns for institutional and retail investors \nthrough a range of products', 'real es\ntate in Asia, \nseparate accounts and pooled investment vehicles.\n \nThe asset managers under Keppel Capital include Keppel REIT Management Limited, Alpha Investment \nPartners Limited, Keppel Infrastructure Fund Management Pte Ltd and', 'tate in Asia, \nseparate accounts and pooled investment vehicles.\n \nThe asset managers under Keppel Capital include Keppel REIT Management Limited, Alpha Investment \nPartners Limited, Keppel Infrastructure Fund Management Pte Ltd and Keppel DC REIT', '.\n \nThe asset managers under Keppel Capital include Keppel REIT Management Limited, Alpha Investment \nPartners Limited, Keppel Infrastructure Fund Management Pte Ltd and Keppel DC REIT Management P\nte \nLtd. \n \nPOSITION:\n \nData', 'Capital include Keppel REIT Management Limited, Alpha Investment \nPartners Limited, Keppel Infrastructure Fund Management Pte Ltd and Keppel DC REIT Management P\nte \nLtd. \n \nPOSITION:\n \nData Centre Asset Management Executive/Assistant Executive', 'within the annual report\n \n \n-\n \nHealth, Safety and Environment (HSE) Committee\n \no\n \nRepresent Keppel DC REIT in HSE commit\ntee meetings and annual safety events.  \n \no\n \nCompile monthly and quarterly']"
1,1,1,"['TP is lifted to \nS$6.00 as we roll over valuation to FY17 and impu\nted valuation for \nKeppel Capital.  \n   Impairment on O&M assets.\n In 4Q16, Keppel provided S$313m \nimpairment for fixed', 'and impu\nted valuation for \nKeppel Capital.  \n   Impairment on O&M assets.\n In 4Q16, Keppel provided S$313m \nimpairment for fixed assets, stocks & WIP and investments which \n\nlargely arose from the', 'repair jobs and cost savings. Order wins in 2016 was rather low at \nS$500m. We expect Keppel to secure S$1.5bn worth of new orders \nthis year.  Orderbook (excluding S$4bn Sete rigs) has', 'in its pipeline through 2019, representing 3.3x \nof home sales i\nn 2016. The consolidation of Keppel™s asset \nmanagement businesses under Keppel Capital that were completed \nin July 2016 strengthen its capital recycling', '\nof home sales i\nn 2016. The consolidation of Keppel™s asset \nmanagement businesses under Keppel Capital that were completed \nin July 2016 strengthen its capital recycling platform and provide a \nsteady stream of', 'FY16F earnings, \n(3) property segment at 0.85x P/BV, (4) Investment (Keppel Capital) \nat 15x PATMI, and (5) market values/estimated fair values are used \n\n', 'Risks to Our View:\n O&M segment could fare worse than expected. \nWe forecast \nrevenues from Keppel O&M falling to the ~S$3\n-4bn levels in each \nof FY17 and FY18, from S$7\n-8bn', '; Services & Dist\n  DBS Group Research . Equity \n  21 Apr 2017\n Singapore\n Company Guide\n Keppel Corporation\n Version\n 8 | Bloomberg\n: KEP SP\n | Reuters: \nKPLM.SI\n   Refer to', 'disclosures at the end of this report\n      ASIAN INSIGHTS\n VICKERS SECURITIES\n Page \n2 Company Guide\n Keppel Corporation\n   WHAT™S NEW\n O&M barely breakeven\n  Keppel™s net earnings grew 24% y', 'SECURITIES\n Page \n2 Company Guide\n Keppel Corporation\n   WHAT™S NEW\n O&M barely breakeven\n  Keppel™s net earnings grew 24% y\n-o-y and 82% q\n-o-q', '), arising largely \nfrom KrisEnergy; 2) \ngain on disposal of associated companies\n - GE Keppel Energy and Cityone Development (Wuxi) (S$43.5m); \n3) gain on disposa\nl', 'year, driving the \nincrease in order wins to S$1.5bn.\n  Rightsizing reaches a ﬁsteady stateﬂ.\n Keppel trimmed \nits \nO&M \nworkforce by another 6% in 1Q17, bringing total global direct \nworkforce', 'or 49% since the start of \nthe \n\nrightsizing exercise in early 2015. Current \nheadcount in Keppel \nO&M is approaching a steady state that\n is appropriate for the \nlevel o\nf work.', '\n  Management \nemphasised \nthat D\nata Centres continue to be an \nimportant growth business for \nKeppel\n. In Apr\n-2017, Keppel \nData Centres and Hong Kong™s PCCW Global launched the', 'ata Centres continue to be an \nimportant growth business for \nKeppel\n. In Apr\n-2017, Keppel \nData Centres and Hong Kong™s PCCW Global launched the \n\nPCCW Global\n-Keppel International Carrier and', '™s project status\n.  \n               ASIAN INSIGHTS\n VICKERS SECURITIES\n Page \n3  Company Guide\n Keppel Corporation\n Quarterly / Interim Income Statement \n(S$m) FY \nDec\n  1Q2016\n 4Q2016\n 1Q2017', 'data: Company, \nDBS Bank\n          ASIAN INSIGHTS\n VICKERS SECURITIES\n Page \n4 Company Guide\n Keppel Corporation\n  CRITICAL DATA POINTS TO WATCH\n  Earnings Drivers: \n Orderbook the key driver of Keppel O&M™', 'Guide\n Keppel Corporation\n  CRITICAL DATA POINTS TO WATCH\n  Earnings Drivers: \n Orderbook the key driver of Keppel O&M™s earnings; FLNG and \nproduction facilities to fill the gap. \nKeppel O&M secured \n', 'key driver of Keppel O&M™s earnings; FLNG and \nproduction facilities to fill the gap. \nKeppel O&M secured \nS$1.8bn in order wins in FY15 and S$500m in FY16, dismal \ncompared to its', 'improve rig utilisation, hence spurring capex spend and \norder wins. \nIn terms of growth potential, Keppel™s first\n-mover \nadvantage in the Floating Liquified Natural gas (FLNG) \nconversion market could', 'a third FLNG project.      \n      \n  Residential home sales in China\n and Vietnam are the main \ndrivers of Keppel Land™s revenue and earnings.\n In China, further \nrelaxation of cooling measures, urbanisation and', 'bank easing, seem to be \n\nencouraging residential property sales. Vietnam is\n another \nemerging market for Keppel, accounting for 27% of its home \n\nsales in FY16. Singapore unit sales should be dampened by', 'prices.      \n       \n  Infrastructure division earnings buoyed by handover of \nproblematic assets.\n The bad apple situation with Keppel \nInfrastructure™s EPC projects has improved with the handover of \nthe two Greater Manchester EfW (energy', 'Divestments can free up cash to be invested in more profitable \n\nareas or to pay down debt. In Keppel™s case, it may also reduce \nthe conglomerate discount on its stock. M1 is a pos', ""telecom analyst has a HOLD call on this stock as at the date of \nthis report. We estimate Keppel's stake in M1 to be ~S$440m. \nInjection of Infrastructure assets such as the Woodlands Wafer \n\n"", 'M1 to be ~S$440m. \nInjection of Infrastructure assets such as the Woodlands Wafer \n\nFab Park into Keppel Infrastructure Trust (KIT), to whom Keppel \nInfrastructure acts as sponsor, could be another alternative.', 'Infrastructure assets such as the Woodlands Wafer \n\nFab Park into Keppel Infrastructure Trust (KIT), to whom Keppel \nInfrastructure acts as sponsor, could be another alternative.\n    Sales Trend\n  Asset Trend\n  Profitability Trend', ': Company, DBS \nBank\n         ASIAN INSIGHTS\n VICKERS SECURITIES\n Page \n5  Company Guide\n Keppel Corporation\n Balance Sheet:\n Following the privatisation of Keppel Land in 1Q15, Keppel \nCorp™s', 'SECURITIES\n Page \n5  Company Guide\n Keppel Corporation\n Balance Sheet:\n Following the privatisation of Keppel Land in 1Q15, Keppel \nCorp™s net\n gearing rose from 0.11x as of end\n-2014', ' Company Guide\n Keppel Corporation\n Balance Sheet:\n Following the privatisation of Keppel Land in 1Q15, Keppel \nCorp™s net\n gearing rose from 0.11x as of end\n-2014 to 0.42x as \nof', 'capital recycling.\n  \nShare Price Drivers:\n Recovery in oil prices would support the share price. \nKeppel \nO&M would benefit if oil prices recover to at least above the \n\nUS$60/bbl level, we think', 'payment terms, as well as Korean peers, may \naffect \n\norder wins and profitability, especially if Keppel starts to offer \nconcessions to protect market share.\n               Further deferments possible if oil prices remain subdued.', '\nŒ a situation which could worsen if oil prices \nremain low.\n  \nCompany Backg\nround\n Keppel is a diversified conglomerate with its core businesses in \n\noffshore marine (O&M), property investments and \n\n', 'Source: Company, \nDBS Bank\n      ASIAN INSIGHTS\n VICKERS SECURITIES\n Page \n6 Company Guide\n Keppel Corporation\n  Key Assumptions\n FY \nDec\n   2014\nA 2015\nA 2016\nA 2017\n', ': Company, \nDBS Bank\n       ASIAN INSIGHTS\n VICKERS SECURITIES\n Page \n7  Company Guide\n Keppel Corporation\n Quarterly / Interim Income Statement \n(S$m) FY \nDec\n  1Q2016\n 2Q2016\n 3Q2016', 'Source: Company, \nDBS Bank\n         ASIAN INSIGHTS\n VICKERS SECURITIES\n Page \n8 Company Guide\n Keppel Corporation\n  Cash Flow Statement (\nS$m) FY \nDec\n  2014\nA 2015\nA 2016', 'Analyst:\n Pei Hwa HO\n                       ASIAN INSIGHTS\n VICKERS SECURITIES\n Page \n9  Company Guide\n Keppel Corporation\n DBS Bank\n recommendations are based an Absolute Total Return* Rating system, defined as follows:', 't\no in this report.\n       ASIAN INSIGHTS\n VICKERS SECURITIES\n Page \n10 Company Guide\n Keppel Corporation\n  DBSVUSA, a US\n-registered broker\n-dealer, does not have its own investment banking or', ""Pte Ltd (''DBSVS''), their subsidiaries and/or other affiliates have a proprietary position in\n \nKeppel Corporation recommended in this report as of 31 Mar 2017.\n \n 2. Neither DBS Bank Ltd, DBS"", 'Danny Teoh\n Leong Kay, a member of DBS Group Holdings Board of Directors, is a Director of Keppel Corporation as of 31 Mar 2017.\n  Disclosure of previous investment recommendation produced:\n 5. DBS Bank', 'new lis\nting applicant.  \n       ASIAN INSIGHTS\n VICKERS SECURITIES\n Page \n11  Company Guide\n Keppel Corporation\n RESTRICTIONS ON DISTRIBUTION \n General\n This report is not directed to, or intended for distribution to', 'other person may act upon it.\n         ASIAN INSIGHTS\n VICKERS SECURITIES\n Page \n12 Company Guide\n Keppel Corporation\n  United States\n This report was prepared by \nDBS \nBank Ltd\n.  DBSVUSA did']"
2,2,2,"['', '. \n\n \n19 March 2010, Baku, Azerbaijan\n Œ Fortifying its presence in the Caspian \nRegion, Keppel Offshore & Marine Limited (Keppel O&M) joins hands with \nState Oil Company of Azerbaijan Republic (SOCAR', 'Baku, Azerbaijan\n Œ Fortifying its presence in the Caspian \nRegion, Keppel Offshore & Marine Limited (Keppel O&M) joins hands with \nState Oil Company of Azerbaijan Republic (SOCAR) and Azerbaijan \nInvestment Company', 'and manage a new 52-ha shipbuilding \nand shiprepair facility in Baku, Azerbaijan.  \n \nThe new SOCAR-Keppel Shipyard will be developed over a period of two to \nthree years with an investment of \nUS$386', 'three years with an investment of \nUS$386 million. The joint venture \nagreement will be signed with Keppel O&M taking a 10% share of the yard, \nand SOCAR and AIC the other 65% and', 'share of the yard, \nand SOCAR and AIC the other 65% and 25% respectively.  \n \nKeppel O&M will be responsible for th\ne management and operation of the \nyard, and will have the', 'companies supporting the \n\noperation of large oil and gas companies. The development of this new \n\nSOCAR-Keppel shipyard supports the Oil Strategy promulgated by President \nHeydar Aliyev.ﬂ \n \nMinister Yeo is the first Singaporean Minister to', 'and Singapore™s Minister of Foreign \nAffairs Mr George Yeo witness this significant event. \n ﬁSOCAR and Keppel came together 13 years ago to form the Caspian \nShipyard Company in Baku. Together, we delivered many', ', and brought Azerbaijan™s oil and gas sector to new \n\nheights. \n ﬁThe new SOCAR-Keppel Shipyard is envisaged to be on par with the best \nshipbuilding facilities in the world. I am confident', 'envisaged to be on par with the best \nshipbuilding facilities in the world. I am confident that with Keppel™s proven \nexpertise and operational track record, we will continue to create new \n\nbenchmarks for the', 'and \nsupport the renewal of SOCAR™s vessel fleet. \n \nMr Tong Chong Heong, CEO of Keppel O&M, said, ﬁWe are pleased to \nstrengthen our win-win partnership with SOCAR through the development', 'pleased to \nstrengthen our win-win partnership with SOCAR through the development of \nthe new SOCAR-Keppel Shipyard.  \n ﬁThis latest venture reinforces Keppel O&M™s Near Market, Near Customer \n\nstrategy, and', 'partnership with SOCAR through the development of \nthe new SOCAR-Keppel Shipyard.  \n ﬁThis latest venture reinforces Keppel O&M™s Near Market, Near Customer \n\nstrategy, and will place us in pole position to capture', 'joint venture is not expected to have material impact on the net \n\ntangible assets or earnings per share of Keppel Corporation Limited for the \ncurrent financial year. \n  Œ End Œ \n   3   About Keppel O&M \n \n', 'share of Keppel Corporation Limited for the \ncurrent financial year. \n  Œ End Œ \n   3   About Keppel O&M \n \nKeppel O&M, a wholly owned subsidiary of Keppel Corporation Limited, is a \nleader in offshore', 'Corporation Limited for the \ncurrent financial year. \n  Œ End Œ \n   3   About Keppel O&M \n \nKeppel O&M, a wholly owned subsidiary of Keppel Corporation Limited, is a \nleader in offshore rig design,', '. \n  Œ End Œ \n   3   About Keppel O&M \n \nKeppel O&M, a wholly owned subsidiary of Keppel Corporation Limited, is a \nleader in offshore rig design, construction and repair, ship repair and \n', '\nleader in offshore rig design, construction and repair, ship repair and \nconversion and specialised shipbuilding. Keppel Offshore & Marine™s near \n\nmarket, near customer strategy is bolstered by a global network of 20', 'aims to be the provider of choice and partner \nfor solutions for the offshore and marine industry.  \n\n Keppel O&M operates the Caspian Shipyard Company (CSC) in Azerbaijan, \nthe first international rig construction, repair', '\nenterprises. \n  \n  For further information, please contact: \n\nIvana Chua (Ms) \n\nManager \n\nKeppel Group Corporate Communications  \nTel: (65) 6413 6436 \nEmail: ivana.chua@kepcorp.com\n   \n  ']"
3,3,3,[]
4,4,4,"['/o Servoo Apportorai \n(Tiong Seng Contractors (Pte) Ltd) \n Mr Sivasamy Gopalakrishnan \n(Keppel Shipyard Limited (Benoi Yard)) \n Mr Varadakaliyaperumal Ganesh Kumar \n(Singapore Technologies Marine Ltd) \n ', '-Asia Pte Ltd \n  3  Jabil Circuit (Singapore) Pte Ltd \n Jurong Shipyard Pte Ltd \n Keppel DHCS Pte Ltd \n Keppel FMO Pte Ltd \n Keppel Merlimau Cogen Pte Ltd \n Keppel Seghers NEWater Development Co', '3  Jabil Circuit (Singapore) Pte Ltd \n Jurong Shipyard Pte Ltd \n Keppel DHCS Pte Ltd \n Keppel FMO Pte Ltd \n Keppel Merlimau Cogen Pte Ltd \n Keppel Seghers NEWater Development Co Pte Ltd \n Keppel Singmarine', 'Singapore) Pte Ltd \n Jurong Shipyard Pte Ltd \n Keppel DHCS Pte Ltd \n Keppel FMO Pte Ltd \n Keppel Merlimau Cogen Pte Ltd \n Keppel Seghers NEWater Development Co Pte Ltd \n Keppel Singmarine Pte Ltd \n Lonza Biologics', 'Shipyard Pte Ltd \n Keppel DHCS Pte Ltd \n Keppel FMO Pte Ltd \n Keppel Merlimau Cogen Pte Ltd \n Keppel Seghers NEWater Development Co Pte Ltd \n Keppel Singmarine Pte Ltd \n Lonza Biologics Tuas Pte Ltd \n Lubrizol Southeast', '\n Keppel FMO Pte Ltd \n Keppel Merlimau Cogen Pte Ltd \n Keppel Seghers NEWater Development Co Pte Ltd \n Keppel Singmarine Pte Ltd \n Lonza Biologics Tuas Pte Ltd \n Lubrizol Southeast Asia Pte Ltd \n McConnell Dowell South East', 'Jurong Shipyard Pte Ltd \n(West Leo) \n Jurong Shipyard Pte Ltd \n(West Pegasus) \n Keppel FELS Limited \n(Project B300 - Rowan Viking) \n Keppel FELS Limited \n(Project B301 - Rowan', 'Pte Ltd \n(West Pegasus) \n Keppel FELS Limited \n(Project B300 - Rowan Viking) \n Keppel FELS Limited \n(Project B301 - Rowan Stavanger) \n  7  Keppel FELS Limited \n(Project B308', 'B300 - Rowan Viking) \n Keppel FELS Limited \n(Project B301 - Rowan Stavanger) \n  7  Keppel FELS Limited \n(Project B308 - Ensco 8504) \n Keppel FELS Limited \n(Project B309 - QGOG', 'B301 - Rowan Stavanger) \n  7  Keppel FELS Limited \n(Project B308 - Ensco 8504) \n Keppel FELS Limited \n(Project B309 - QGOG Alpha Star) \n Keppel FELS Limited \n(Project B310 -', 'Project B308 - Ensco 8504) \n Keppel FELS Limited \n(Project B309 - QGOG Alpha Star) \n Keppel FELS Limited \n(Project B310 - Ensco 8505) \n Keppel Shipyard Limited \n(DLB NorCE Endeavour)', 'Project B309 - QGOG Alpha Star) \n Keppel FELS Limited \n(Project B310 - Ensco 8505) \n Keppel Shipyard Limited \n(DLB NorCE Endeavour) \n Keppel Shipyard Limited \n(Armada TGT 1) \n Keppel', 'Limited \n(Project B310 - Ensco 8505) \n Keppel Shipyard Limited \n(DLB NorCE Endeavour) \n Keppel Shipyard Limited \n(Armada TGT 1) \n Keppel Shipyard Limited \n(FPSO Aseng) \n Keppel Shipyard', 'Keppel Shipyard Limited \n(DLB NorCE Endeavour) \n Keppel Shipyard Limited \n(Armada TGT 1) \n Keppel Shipyard Limited \n(FPSO Aseng) \n Keppel Shipyard Limited \n(FPSO Okha) \n Keppel Shipyard Limited', '\n Keppel Shipyard Limited \n(Armada TGT 1) \n Keppel Shipyard Limited \n(FPSO Aseng) \n Keppel Shipyard Limited \n(FPSO Okha) \n Keppel Shipyard Limited \n(FSRU Golar Freeze) \n Keppel Shipyard', ') \n Keppel Shipyard Limited \n(FPSO Aseng) \n Keppel Shipyard Limited \n(FPSO Okha) \n Keppel Shipyard Limited \n(FSRU Golar Freeze) \n Keppel Shipyard Limited \n(LEWEK EMAS) \n Keppel Shipyard', '\n Keppel Shipyard Limited \n(FPSO Okha) \n Keppel Shipyard Limited \n(FSRU Golar Freeze) \n Keppel Shipyard Limited \n(LEWEK EMAS) \n Keppel Shipyard Limited \n(Maersk Peregrino) \n Keppel Shipyard Limited', '\n Keppel Shipyard Limited \n(FSRU Golar Freeze) \n Keppel Shipyard Limited \n(LEWEK EMAS) \n Keppel Shipyard Limited \n(Maersk Peregrino) \n Keppel Shipyard Limited \n(MV Ghena) \n Keppel Shipyard Limited', ') \n Keppel Shipyard Limited \n(LEWEK EMAS) \n Keppel Shipyard Limited \n(Maersk Peregrino) \n Keppel Shipyard Limited \n(MV Ghena) \n Keppel Shipyard Limited \n(Noble Bully II) \n Keppel Shipyard', ') \n Keppel Shipyard Limited \n(Maersk Peregrino) \n Keppel Shipyard Limited \n(MV Ghena) \n Keppel Shipyard Limited \n(Noble Bully II) \n Keppel Shipyard Limited \n(Petrobras 58) \n Keppel Singmarine', '\n Keppel Shipyard Limited \n(MV Ghena) \n Keppel Shipyard Limited \n(Noble Bully II) \n Keppel Shipyard Limited \n(Petrobras 58) \n Keppel Singmarine Pte Ltd \n(Global 1200) \n Keppel Singmarine', '\n Keppel Shipyard Limited \n(Noble Bully II) \n Keppel Shipyard Limited \n(Petrobras 58) \n Keppel Singmarine Pte Ltd \n(Global 1200) \n Keppel Singmarine Pte Ltd \n(Global 1201) \n Kim', '\n Keppel Shipyard Limited \n(Petrobras 58) \n Keppel Singmarine Pte Ltd \n(Global 1200) \n Keppel Singmarine Pte Ltd \n(Global 1201) \n Kim Seng Heng Engineering Construction (Pte) Ltd \n(', 'MANAGEMENT AWARDS \n Dockers Marine Pte Ltd \n Entraco Offshore Engineering Pte. Ltd. \n Haraco Services Pte Ltd \n Keppel Gas Pte Ltd \n Pipenet Pte Ltd \n Prime Steelkit Pte Ltd \n Si Pro (S) Pte Ltd']"
5,5,5,"['\nCONTROL OF NAVIGATION\n28 Collision Regulations applicable to vessels navigating or at anchor\n29 Restricted entry into Keppel Harbour, East Johore Strait and Damar Laut\nChannel and Jurong River\n30 Restriction on movement in wharves', 'has the same meaning as in Regulation 1 of Chapter XI-2 of the\nSafety Convention Regulations;\n""Keppel Harbour"" means the area of the port from the western extremity of\nTanjong Rimau on Sentosa in a', 'For the purposes of navigation and anchoring of vessels the Collision\nRegulations shall apply.\nRestricted entry into Keppel Harbour, East Johore Strait and Damar Laut\nChannel and Jurong River\n29. —(1) No person', 'metres in\nlength, or exceeding 30 metres in height, to enter, manoeuvre within or\nleave Keppel Harbour or the East Johore Strait without —\n(a) notifying the respective control stations of its intention', 'For the purposes of this regulation, “Height Restricted Area”\nmeans the areas of the port within Keppel Harbour bounded by the line\njoining the position 1° 15.599’N 103° 48.531’E to the position 1°', ') 1°    |\xa0|103°      |\n|17.617’N    | |42.050’E  |\n\n\n2.3.6 West Keppel Fairway\nThat part of the Western Prohibited Anchorage Area bounded by a line\njoining the following geographical positions', '°      |\n|13.150’N    | |50.033’E  |\n\n\n3 EASTERN PROHIBITED ANCHORAGE AREAS AND FAIRWAYS\n3.1 Keppel Harbour Prohibited Anchorage Area\nExcept with the written permission of the Port Master and except in\nconnection with', 'written permission of the Port Master and except in\nconnection with berthing operations, anchorage is prohibited in the Keppel\nHarbour in the area contained between a line joining the NW Boat Beacon and\nthe south eastern extremity', 'and\nthe south eastern extremity of the Tanjong Pagar Terminal and the Brani\nCauseway.\n3.2 East Keppel Fairway Prohibited Anchorage Area\nAnchorage is prohibited within an area bounded by the following lines or\npositions (', '| |53.917’E  |\n\n\n3.6 Eastern Fairways\nWithin the eastern sector of the port, which shall include KEPPEL HARBOUR,\nthe following areas so defined or bounded by specified positions or lines\nshall be construed as', 'specified positions or lines\nshall be construed as main fairways for the purposes of these Regulations:\n3.6.1 Keppel Harbour\nThe prohibited anchorage area defined in paragraph 3.1 of this Schedule.\n3.6.2 East Keppel Fairway\n', '\n3.6.1 Keppel Harbour\nThe prohibited anchorage area defined in paragraph 3.1 of this Schedule.\n3.6.2 East Keppel Fairway\nThe prohibited anchorage area defined in paragraph 3.2 of this Schedule.\n3.6.3 The Eastern Fairway\n']"
6,6,6,"['', ' AT THE 2003 SECOND QUARTER RESULTS PRESENTATION \nTO PRESS AND ANALYSTS\n  THURSDAY, 31 JULY 2003\n    KEPPEL OFFSHORE & MARINE TECHNOLOGY STRATEGY \n  <Slide 1>   In this presentation, I will be providing \n', 'will be providing \nyou with an insight into the technology \nstrategy that contributes to the success \nof Keppel Offshore & Marine and sets us \napart from our competitors.  Keppel Offshore & Marine is not just', 'contributes to the success \nof Keppel Offshore & Marine and sets us \napart from our competitors.  Keppel Offshore & Marine is not just a shipyard group Œ what makes it different is the technology element that elevates', 'the technology element that elevates the Group to be a Solution Provider, and at \nthe same time positions Keppel O&M as a Centre of Excellence for Offshore and \nMarine Technology.  <Slide 2>   The', 'of Excellence for Offshore and \nMarine Technology.  <Slide 2>   The technology strategy adopted by Keppel O&M can be represented by the \nchart shown in this slide.  It comprises four inter-related', 'control of these critical equipment\n also means control of costs and availability, thereby protecting margins.  Within Keppel O&M, there are three technology groups that are responsible for \ndesign development:  \n DTG Œ the Deepwater', 'our \ndesigns to meet these requirements.  To carry out this detail design function we \nhave the Keppel O&M Engineering group which has over\n 250 engineers Œ many of them with over 15 years of experience.', 'various R&D activities undertaken by OTD, MTD and DTG as well as \n\nthe learning opportunity afforded by the Keppel Professorship.  The Keppel \nProfessorship, as you know, is hosted at the National University of Singapore', 'OTD, MTD and DTG as well as \n\nthe learning opportunity afforded by the Keppel Professorship.  The Keppel \nProfessorship, as you know, is hosted at the National University of Singapore \nand has been set', 'a centre of excellence for \nOcean, Marine and Offshore technology. The \nfirst public lecture by the Keppel \nProfessor, Torgeir Moan, was officiated by Mr. Yeo Cheow Tong, the Minister for Transport, two', 'provided via a te\nchnology foresight process based on \nfeedback from our various business units worldwide and the Keppel O&M \nHouston Centre.  The Houston Centre is the Group™s vanguard in the world™s', '   I shall now touch on each of the technology groups in detail.  <Slide 8>   Keppel O&M is today a world leading jackup rig designer, having built the world™s first harsh environment jackup', 'followed by the Monitor in 1989 and the Magellan in 1992.   \n Progressing from being just a builder, Keppel FELS embarked in 1996 on its rig \ndesign programme using OTD as the springboard.  Drawing fr\n', 'slide) indicate the num\nber of units in service.  The fixation \nsystem has also allowed Keppel O&M to undertake the turnkey upgrading of four existing jackup rigs.  Incidentally, two of \nthese rigs', 'the turnkey upgrading of four existing jackup rigs.  Incidentally, two of \nthese rigs were built by Keppel FELS some 20 years ago.  One newly developed product is the RPD (o\nr rack phase', 'Group™s shipbuilding activities \nthrough the development of proprietary designs for support vessels and marine tugs.  Keppel O&M currently builds the largest number of harbour tugs in \n\nSingapore.  In addition, MTD is also', '), the semi was \ndesigned to suit the fabrication strategy\n of building part in Singapore™s Keppel FELS and part in our Caspian Sea Shipyard (CSC) and \nfinally integrated and \ncompleted in CSC', '\nhe detail engineering work to incorporate \nwhat the customer wants into the desi\ngn.  The Keppel O&M engineering group \n with its 250 strong staff is geared to do this Œ customising our designs to meet', 'equipment and piping systems inside).    <Slide 20>   In summary, the technology element within Keppel O&M allows the Group to build on its core competencies and focus products and services for global \nleadership.', '\nand distancing ourselves from new entrants.  \n As our contribution to the Industry, the technology element in Keppel O&M helps \nput Singapore on the world stage as a Centre of Excellence for Offshore and \nMarine Research']"
